row_id,salt,source_table,source_pdf_page,source_printed_page,molality_mol_kg,osmotic_coefficient,gamma_pm_m,phi_table8_binding,gamma_table8_binding,miac_repository_path,miac_repository_sha256,miac_repository_row_status,osmotic_repository_candidate,osmotic_repository_row_status
HW1972-T10-LiBr-m0.02,LiBr,10,19,1064,0.02,0.961,0.877,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.05,LiBr,10,19,1064,0.05,0.95,0.832,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.1,LiBr,10,19,1064,0.1,0.944,0.797,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.2,LiBr,10,19,1064,0.2,0.944,0.767,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.3,LiBr,10,19,1064,0.3,0.951,0.755,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.4,LiBr,10,19,1064,0.4,0.96,0.752,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.5,LiBr,10,19,1064,0.5,0.97,0.754,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.6,LiBr,10,19,1064,0.6,0.982,0.759,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.7,LiBr,10,19,1064,0.7,0.994,0.767,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
HW1972-T10-LiBr-m0.8,LiBr,10,19,1064,0.8,1.007,0.778,DIRECT_HAMER_WU_HASLAM_MEMBERSHIP_UNKNOWN,DIRECT_HAMER_WU_EXACT_HASLAM_SUBSET,/home/tnnrpolley21/Workspaces/Engineering/ePC-SAFT/data/reference/MIAC/water/water-LiBr.csv,8daf2ca847a4b901e3f18965d7dfb6788bfb92897534f29b37f5018e9a211760,VERIFIED_VALUE_MATCH,,NO_LOCAL_OSMOTIC_FILE
