salt,molality_mol_kg,gamma_pm_m_literature,gamma_pm_m_model,error,abs_error,parameter_fingerprint
KCl,0.02,0.869,0.8701041103908784,0.0011041103908784322,0.0011041103908784322,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.05,0.816,0.8192745179234171,0.003274517923417153,0.003274517923417153,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.1,0.768,0.775901901819183,0.007901901819182933,0.007901901819182933,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.2,0.717,0.7317875594841765,0.014787559484176538,0.014787559484176538,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.3,0.687,0.7072653263840059,0.0202653263840058,0.0202653263840058,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.4,0.665,0.6909572295798594,0.025957229579859353,0.025957229579859353,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.5,0.649,0.6790540586710989,0.030054058671098893,0.030054058671098893,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.6,0.636,0.6698280775765272,0.03382807757652717,0.03382807757652717,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.7,0.626,0.6623606011763655,0.036360601176365526,0.036360601176365526,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.8,0.617,0.6561118414425177,0.03911184144251767,0.03911184144251767,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,0.9,0.61,0.6507420174360529,0.04074201743605288,0.04074201743605288,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,1.0,0.604,0.6460261888371014,0.04202618883710141,0.04202618883710141,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,1.2,0.594,0.6379825544870503,0.04398255448705035,0.04398255448705035,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,1.4,0.586,0.6311988237631398,0.045198823763139884,0.045198823763139884,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,1.6,0.58,0.6252505074443916,0.04525050744439163,0.04525050744439163,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,1.8,0.576,0.6198915204411126,0.043891520441112664,0.043891520441112664,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,2.0,0.573,0.6149722206587737,0.04197222065877371,0.04197222065877371,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,2.5,0.568,0.6040559766190096,0.03605597661900961,0.03605597661900961,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,3.0,0.568,0.5945897989722639,0.02658979897226399,0.02658979897226399,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,3.5,0.571,0.5862598828961276,0.015259882896127674,0.015259882896127674,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,4.0,0.576,0.5789155350430704,0.0029155350430704052,0.0029155350430704052,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,4.5,0.584,0.5724645389346318,-0.01153546106536818,0.01153546106536818,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,4.803,0.589,0.568959716106141,-0.020040283893858923,0.020040283893858923,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
KCl,5.0,0.593,0.5668363681676564,-0.026163631832343603,0.026163631832343603,sha256:d29cef0c0f63034436d547d0aafa57934effe06783c8dffd89c94fa85e6940f4
LiBr,0.001,0.965,0.9651265909856819,0.00012659098568190696,0.00012659098568190696,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.002,0.952,0.9520325517862218,3.255178622185717e-05,3.255178622185717e-05,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.005,0.929,0.9281607230439843,-0.000839276956015711,0.000839276956015711,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.01,0.905,0.9043061750039497,-0.0006938249960503073,0.0006938249960503073,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.02,0.877,0.8754037391989733,-0.0015962608010267054,0.0015962608010267054,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.05,0.832,0.8318939241181391,-0.00010607588186084538,0.00010607588186084538,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.1,0.797,0.8001139572128848,0.003113957212884766,0.003113957212884766,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.2,0.767,0.7783469901997211,0.011346990199721074,0.011346990199721074,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.3,0.755,0.77587499611265,0.02087499611264998,0.02087499611264998,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.4,0.752,0.7816864909324308,0.02968649093243081,0.02968649093243081,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.5,0.754,0.7921318661908477,0.03813186619084774,0.03813186619084774,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.6,0.759,0.8055681085787917,0.04656810857879168,0.04656810857879168,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.7,0.767,0.8211269926785061,0.05412699267850607,0.05412699267850607,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.8,0.778,0.8383013909082478,0.06030139090824782,0.06030139090824782,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,0.9,0.789,0.8567741887796461,0.06777418877964603,0.06777418877964603,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,1.0,0.803,0.8763372195853601,0.0733372195853601,0.0733372195853601,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,1.2,0.834,0.9182106049644122,0.08421060496441224,0.08421060496441224,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,1.4,0.871,0.9632234502197295,0.09222345021972955,0.09222345021972955,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,1.6,0.913,1.0110209478063417,0.09802094780634163,0.09802094780634163,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,1.8,0.96,1.0614227360978739,0.10142273609787389,0.10142273609787389,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,2.0,1.012,1.1143454847451237,0.10234548474512373,0.10234548474512373,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,2.5,1.166,1.2576004956754112,0.09160049567541129,0.09160049567541129,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
LiBr,3.0,1.359,1.4169258822355786,0.057925882235578596,0.057925882235578596,sha256:1258d8f76ddb4300d4983e70a2efa107b5cdc468748fe8760a04f82c4de38668
