audit_case_id,grid_index,x_methane,branch,status,molar_density_mol_m3,residual_helmholtz,g_bar,support_line_g_bar,gap_above_support,failure_reason
may2015-row-001-midpoint,29,0.029000009420000004,single,accepted,15666.954592728163,-2.501690184110312,6.150829177132911,,,
may2015-row-001-midpoint,29,0.029000009420000004,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,29,0.029000009420000004,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,30,0.030000009400000006,single,accepted,15666.897238170248,-2.499479959190753,6.149542728233622,,,
may2015-row-001-midpoint,30,0.030000009400000006,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,30,0.030000009400000006,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,31,0.031000009380000006,single,accepted,15666.831182108774,-2.4972698277788723,6.148290069958838,,,
may2015-row-001-midpoint,31,0.031000009380000006,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,31,0.031000009380000006,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,32,0.032000009360000005,single,accepted,15666.756386220612,-2.4950597887143338,6.147070126539015,,,
may2015-row-001-midpoint,32,0.032000009360000005,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,32,0.032000009360000005,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,33,0.033000009340000004,single,accepted,15666.672811961209,-2.4928498408270463,6.145881889477806,,,
may2015-row-001-midpoint,33,0.033000009340000004,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,33,0.033000009340000004,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,34,0.03400000932,single,accepted,15666.58042061881,-2.490639982940161,6.144724411432313,,,
may2015-row-001-midpoint,34,0.03400000932,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,34,0.03400000932,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,35,0.0350000093,single,accepted,15666.479173201446,-2.488430213863801,6.143596800813771,,,
may2015-row-001-midpoint,35,0.0350000093,vapor,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
may2015-row-001-midpoint,35,0.0350000093,liquid,failed,,,,,,EosError: evaluation-failed (reason=requested density branch is unavailable)
