ethanol_mass_percent,molality_mol_kg,gamma_pm_m_literature,gamma_pm_m_model,error,abs_error,parameter_fingerprint
40,0.8998,0.481,0.499465289034332,0.018465289034332033,0.018465289034332033,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,1.0,0.479,0.49036496512614053,0.011364965126140547,0.011364965126140547,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,1.21,0.464,0.47320411074997454,0.009204110749974515,0.009204110749974515,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,1.4,0.468,0.4593354248425988,-0.008664575157401211,0.008664575157401211,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
40,1.498,0.465,0.4526666609380006,-0.012333339061999404,0.012333339061999404,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.004001,0.863,0.8688152110424403,0.005815211042440316,0.005815211042440316,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.005,0.85,0.8559820465292591,0.005982046529259155,0.005982046529259155,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.006001,0.832,0.8447572814555231,0.012757281455523128,0.012757281455523128,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.007,0.821,0.8347763006392843,0.013776300639284367,0.013776300639284367,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.007997,0.808,0.8257677131396798,0.01776771313967973,0.01776771313967973,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
60,0.02,0.726,0.7545439854204894,0.028543985420489415,0.028543985420489415,sha256:d56ab2068c5fcabe74e1bed36167b6999e205c59c872d997c73acf0b91f78a2a
